Area Code,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Profit Ratio,BeforeToday,Variance from Budget Sales,% to Budget Sales,header-trend,header-Variance,Date,Inventory,Margin,Market Size,Market,Marketing,Number of Records,Product Line,Product Type,Product,Profit,Sales,State,Total Expenses,Type,header-YoY % Change
631,$210,$270,$200,$480,$228,35.71%,True,2.08%,102.08%,YTD by Month,Variance from Plan,1/1/2012,"1,459",$262,Major Market,East,$63,1,Beans,Espresso,Regular Espresso,$175,$490,New York,$87,Regular,YoY % +/-
409,$260,$300,$220,$560,$207,35.18%,True,-19.29%,80.71%,YTD by Month,Variance from Plan,1/1/2012,965,$245,Major Market,South,$64,1,Beans,Coffee,Colombian,$159,$452,Texas,$86,Regular,YoY % +/-
830,$60,$90,$50,$150,$72,29.44%,True,20.00%,120.00%,YTD by Month,Variance from Plan,1/1/2012,558,$108,Major Market,South,$23,1,Beans,Espresso,Caffe Latte,$53,$180,Texas,$55,Regular,YoY % +/-
325,$70,$110,$90,$180,$89,43.38%,True,21.67%,121.67%,YTD by Month,Variance from Plan,1/1/2012,777,$130,Major Market,South,$24,1,Beans,Espresso,Caffe Mocha,$95,$219,Texas,$35,Regular,YoY % +/-
916,$110,$70,$30,$180,$95,-1.38%,True,-19.44%,80.56%,YTD by Month,Variance from Plan,1/1/2012,608,$50,Major Market,West,$30,1,Beans,Coffee,Amaretto,($2),$145,California,$52,Regular,YoY % +/-
559,$340,$500,$370,$840,$271,38.64%,True,-19.29%,80.71%,YTD by Month,Variance from Plan,1/1/2012,"2,101",$407,Major Market,West,$94,1,Beans,Coffee,Colombian,$262,$678,California,$145,Regular,YoY % +/-
661,$210,$220,$150,$430,$228,30.70%,True,6.05%,106.05%,YTD by Month,Variance from Plan,1/1/2012,"1,459",$228,Major Market,West,$63,1,Beans,Espresso,Caffe Latte,$140,$456,California,$88,Regular,YoY % +/-
818,$100,$140,$20,$240,$105,6.80%,True,4.17%,104.17%,YTD by Month,Variance from Plan,1/1/2012,725,$145,Major Market,West,$95,1,Beans,Espresso,Caffe Mocha,$17,$250,California,$128,Regular,YoY % +/-
970,$140,$160,$110,$300,$170,29.03%,True,13.67%,113.67%,YTD by Month,Variance from Plan,1/1/2012,"1,091",$171,Major Market,Central,$47,1,Leaves,Herbal Tea,Chamomile,$99,$341,Colorado,$72,Decaf,YoY % +/-
312,$70,$120,$100,$190,$89,43.38%,True,15.26%,115.26%,YTD by Month,Variance from Plan,1/1/2012,777,$130,Major Market,Central,$24,1,Leaves,Herbal Tea,Chamomile,$95,$219,Illinois,$35,Decaf,YoY % +/-
937,$20,$50,$50,$70,$32,36.25%,True,14.29%,114.29%,YTD by Month,Variance from Plan,1/1/2012,456,$48,Major Market,Central,$8,1,Leaves,Herbal Tea,Chamomile,$29,$80,Ohio,$19,Decaf,YoY % +/-
719,$50,$80,$20,$130,$63,0.00%,True,15.38%,115.38%,YTD by Month,Variance from Plan,1/1/2012,435,$87,Major Market,Central,$57,1,Leaves,Herbal Tea,Lemon,$0,$150,Colorado,$87,Decaf,YoY % +/-
630,$70,$90,$60,$160,$83,35.79%,True,18.75%,118.75%,YTD by Month,Variance from Plan,1/1/2012,623,$107,Major Market,Central,$27,1,Leaves,Herbal Tea,Lemon,$68,$190,Illinois,$39,Decaf,YoY % +/-
740,$20,$50,$50,$70,$32,36.25%,True,14.29%,114.29%,YTD by Month,Variance from Plan,1/1/2012,821,$48,Major Market,Central,$8,1,Leaves,Herbal Tea,Lemon,$29,$80,Ohio,$19,Decaf,YoY % +/-
970,$50,$70,$40,$120,$60,23.57%,True,16.67%,116.67%,YTD by Month,Variance from Plan,1/1/2012,336,$80,Major Market,Central,$19,1,Leaves,Herbal Tea,Mint,$33,$140,Colorado,$47,Decaf,YoY % +/-
773,$80,$120,$100,$200,$95,43.16%,True,17.00%,117.00%,YTD by Month,Variance from Plan,1/1/2012,821,$139,Major Market,Central,$26,1,Leaves,Herbal Tea,Mint,$101,$234,Illinois,$38,Decaf,YoY % +/-
863,$30,$50,$30,$80,$48,30.91%,True,37.50%,137.50%,YTD by Month,Variance from Plan,1/1/2012,623,$62,Major Market,East,$15,1,Leaves,Herbal Tea,Chamomile,$34,$110,Florida,$28,Decaf,YoY % +/-
239,$40,$50,$20,$90,$54,10.83%,True,33.33%,133.33%,YTD by Month,Variance from Plan,1/1/2012,312,$66,Major Market,East,$20,1,Leaves,Herbal Tea,Lemon,$13,$120,Florida,$53,Decaf,YoY % +/-
339,$40,$60,$30,$100,$58,13.08%,True,30.00%,130.00%,YTD by Month,Variance from Plan,1/1/2012,338,$72,Major Market,East,$22,1,Leaves,Herbal Tea,Lemon,$17,$130,Massachusetts,$55,Decaf,YoY % +/-
607,$180,$190,$100,$370,$245,22.98%,True,30.54%,130.54%,YTD by Month,Variance from Plan,1/1/2012,"1,419",$238,Major Market,East,$93,1,Leaves,Herbal Tea,Lemon,$111,$483,New York,$127,Decaf,YoY % +/-
772,$50,$60,$40,$110,$69,26.00%,True,36.36%,136.36%,YTD by Month,Variance from Plan,1/1/2012,965,$81,Major Market,East,$21,1,Leaves,Herbal Tea,Mint,$39,$150,Florida,$42,Decaf,YoY % +/-
845,$150,($10),($70),$140,$207,-62.78%,True,28.57%,128.57%,YTD by Month,Variance from Plan,1/1/2012,965,($27),Major Market,East,$64,1,Leaves,Herbal Tea,Mint,($113),$180,New York,$86,Decaf,YoY % +/-
281,$50,$80,$50,$130,$60,23.57%,True,7.69%,107.69%,YTD by Month,Variance from Plan,1/1/2012,336,$80,Major Market,South,$19,1,Leaves,Herbal Tea,Chamomile,$33,$140,Texas,$47,Decaf,YoY % +/-
254,$50,$80,$50,$130,$57,30.00%,True,7.69%,107.69%,YTD by Month,Variance from Plan,1/1/2012,364,$83,Major Market,South,$18,1,Leaves,Herbal Tea,Lemon,$42,$140,Texas,$41,Decaf,YoY % +/-
510,$80,$120,$100,$200,$95,43.59%,True,17.00%,117.00%,YTD by Month,Variance from Plan,1/1/2012,821,$139,Major Market,West,$26,1,Leaves,Herbal Tea,Chamomile,$102,$234,California,$37,Decaf,YoY % +/-
310,$170,$220,$160,$390,$207,35.40%,True,15.90%,115.90%,YTD by Month,Variance from Plan,1/1/2012,965,$245,Major Market,West,$64,1,Leaves,Herbal Tea,Lemon,$160,$452,California,$85,Decaf,YoY % +/-
707,$70,$90,$60,$160,$83,35.26%,True,18.75%,118.75%,YTD by Month,Variance from Plan,1/1/2012,623,$107,Major Market,West,$27,1,Leaves,Herbal Tea,Mint,$67,$190,California,$40,Decaf,YoY % +/-
719,$40,$70,$20,$110,$58,13.08%,True,18.18%,118.18%,YTD by Month,Variance from Plan,1/1/2012,338,$72,Major Market,Central,$22,1,Leaves,Tea,Darjeeling,$17,$130,Colorado,$55,Regular,YoY % +/-
217,$40,$70,$50,$110,$54,39.55%,True,21.82%,121.82%,YTD by Month,Variance from Plan,1/1/2012,456,$80,Major Market,Central,$15,1,Leaves,Tea,Darjeeling,$53,$134,Illinois,$27,Regular,YoY % +/-
567,$70,$110,$60,$180,$84,32.38%,True,16.67%,116.67%,YTD by Month,Variance from Plan,1/1/2012,651,$126,Major Market,Central,$27,1,Leaves,Tea,Darjeeling,$68,$210,Ohio,$58,Regular,YoY % +/-
303,$50,$70,$40,$120,$64,25.71%,True,16.67%,116.67%,YTD by Month,Variance from Plan,1/1/2012,965,$76,Major Market,Central,$19,1,Leaves,Tea,Earl Grey,$36,$140,Colorado,$40,Regular,YoY % +/-
708,$60,$90,$40,$150,$72,30.00%,True,20.00%,120.00%,YTD by Month,Variance from Plan,1/1/2012,558,$108,Major Market,Central,$23,1,Leaves,Tea,Earl Grey,$54,$180,Illinois,$54,Regular,YoY % +/-
216,$70,$100,$60,$170,$84,33.50%,True,17.65%,117.65%,YTD by Month,Variance from Plan,1/1/2012,500,$116,Major Market,Central,$26,1,Leaves,Tea,Earl Grey,$67,$200,Ohio,$49,Regular,YoY % +/-
303,$30,$50,$30,$80,$44,30.00%,True,25.00%,125.00%,YTD by Month,Variance from Plan,1/1/2012,623,$56,Major Market,Central,$14,1,Leaves,Tea,Green Tea,$30,$100,Colorado,$26,Regular,YoY % +/-
954,$30,$50,$40,$80,$32,35.00%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,821,$48,Major Market,East,$8,1,Leaves,Tea,Darjeeling,$28,$80,Florida,$20,Regular,YoY % +/-
508,$30,$50,$40,$80,$32,36.25%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,821,$48,Major Market,East,$8,1,Leaves,Tea,Darjeeling,$29,$80,Massachusetts,$19,Regular,YoY % +/-
347,$100,$150,$120,$250,$95,43.16%,True,-6.40%,93.60%,YTD by Month,Variance from Plan,1/1/2012,821,$139,Major Market,East,$26,1,Leaves,Tea,Darjeeling,$101,$234,New York,$38,Regular,YoY % +/-
646,$90,$140,$110,$230,$89,42.92%,True,-4.78%,95.22%,YTD by Month,Variance from Plan,1/1/2012,777,$130,Major Market,East,$24,1,Leaves,Tea,Earl Grey,$94,$219,New York,$36,Regular,YoY % +/-
754,$30,$50,$40,$80,$33,34.57%,True,1.25%,101.25%,YTD by Month,Variance from Plan,1/1/2012,777,$48,Major Market,East,$9,1,Leaves,Tea,Green Tea,$28,$81,Florida,$20,Regular,YoY % +/-
781,$30,$50,$40,$80,$32,36.25%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,456,$48,Major Market,East,$8,1,Leaves,Tea,Green Tea,$29,$80,Massachusetts,$19,Regular,YoY % +/-
347,$50,$90,$70,$140,$54,40.30%,True,-4.29%,95.71%,YTD by Month,Variance from Plan,1/1/2012,456,$80,Major Market,East,$15,1,Leaves,Tea,Green Tea,$54,$134,New York,$26,Regular,YoY % +/-
619,$50,$90,$80,$140,$89,42.92%,True,56.43%,156.43%,YTD by Month,Variance from Plan,1/1/2012,777,$130,Major Market,West,$24,1,Leaves,Tea,Darjeeling,$94,$219,California,$36,Regular,YoY % +/-
650,$30,$60,$60,$90,$54,40.30%,True,48.89%,148.89%,YTD by Month,Variance from Plan,1/1/2012,456,$80,Major Market,West,$15,1,Leaves,Tea,Earl Grey,$54,$134,California,$26,Regular,YoY % +/-
760,$40,$80,$50,$120,$72,30.00%,True,50.00%,150.00%,YTD by Month,Variance from Plan,1/1/2012,558,$108,Major Market,West,$23,1,Leaves,Tea,Green Tea,$54,$180,California,$54,Regular,YoY % +/-
712,$20,$30,$20,$50,$23,22.22%,True,8.00%,108.00%,YTD by Month,Variance from Plan,1/1/2012,623,$31,Small Market,Central,$7,1,Beans,Coffee,Decaf Irish Cream,$12,$54,Iowa,$19,Decaf,YoY % +/-
573,$80,$90,$50,$170,$78,27.65%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,965,$92,Small Market,Central,$24,1,Beans,Coffee,Decaf Irish Cream,$47,$170,Missouri,$45,Decaf,YoY % +/-
414,$80,$100,$60,$180,$77,28.33%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,432,$103,Small Market,Central,$25,1,Beans,Coffee,Decaf Irish Cream,$51,$180,Wisconsin,$52,Decaf,YoY % +/-
563,$10,$40,$30,$50,$17,23.26%,True,-14.00%,86.00%,YTD by Month,Variance from Plan,1/1/2012,777,$26,Small Market,Central,$4,1,Beans,Espresso,Decaf Espresso,$10,$43,Iowa,$16,Decaf,YoY % +/-
660,$50,$80,$60,$130,$46,39.47%,True,-12.31%,87.69%,YTD by Month,Variance from Plan,1/1/2012,777,$68,Small Market,Central,$12,1,Beans,Espresso,Decaf Espresso,$45,$114,Missouri,$23,Decaf,YoY % +/-
262,$50,$70,$50,$120,$48,30.91%,True,-8.33%,91.67%,YTD by Month,Variance from Plan,1/1/2012,623,$62,Small Market,Central,$15,1,Beans,Espresso,Decaf Espresso,$34,$110,Wisconsin,$28,Decaf,YoY % +/-
475,$50,$70,$40,$120,$55,23.08%,True,8.33%,108.33%,YTD by Month,Variance from Plan,1/1/2012,312,$75,Small Market,East,$18,1,Beans,Espresso,Decaf Espresso,$30,$130,Connecticut,$45,Decaf,YoY % +/-
985,$40,$60,$50,$100,$33,34.57%,True,-19.00%,81.00%,YTD by Month,Variance from Plan,1/1/2012,777,$48,Small Market,South,$9,1,Beans,Coffee,Decaf Irish Cream,$28,$81,Louisiana,$20,Decaf,YoY % +/-
505,$110,$10,($30),$120,$88,-39.39%,True,-17.50%,82.50%,YTD by Month,Variance from Plan,1/1/2012,525,$11,Small Market,South,$27,1,Beans,Coffee,Decaf Irish Cream,($39),$99,New Mexico,$50,Decaf,YoY % +/-
580,$40,$60,$50,$100,$32,35.00%,True,-20.00%,80.00%,YTD by Month,Variance from Plan,1/1/2012,821,$48,Small Market,South,$8,1,Beans,Coffee,Decaf Irish Cream,$28,$80,Oklahoma,$20,Decaf,YoY % +/-
337,$50,$70,$50,$120,$61,32.00%,True,25.00%,125.00%,YTD by Month,Variance from Plan,1/1/2012,390,$89,Small Market,South,$19,1,Beans,Espresso,Decaf Espresso,$48,$150,Louisiana,$41,Decaf,YoY % +/-
505,$30,$40,$10,$70,$35,10.98%,True,17.14%,117.14%,YTD by Month,Variance from Plan,1/1/2012,196,$47,Small Market,South,$11,1,Beans,Espresso,Decaf Espresso,$9,$82,New Mexico,$38,Decaf,YoY % +/-
405,$70,$110,$70,$180,$84,31.90%,True,16.67%,116.67%,YTD by Month,Variance from Plan,1/1/2012,651,$126,Small Market,South,$27,1,Beans,Espresso,Decaf Espresso,$67,$210,Oklahoma,$59,Decaf,YoY % +/-
775,$30,$40,$20,$70,$28,6.45%,True,-11.43%,88.57%,YTD by Month,Variance from Plan,1/1/2012,965,$34,Small Market,West,$8,1,Beans,Coffee,Decaf Irish Cream,$4,$62,Nevada,$30,Decaf,YoY % +/-
971,$70,$100,$70,$170,$57,30.00%,True,-17.65%,82.35%,YTD by Month,Variance from Plan,1/1/2012,364,$83,Small Market,West,$18,1,Beans,Coffee,Decaf Irish Cream,$42,$140,Oregon,$41,Decaf,YoY % +/-
801,$100,$130,$70,$230,$85,20.53%,True,-17.39%,82.61%,YTD by Month,Variance from Plan,1/1/2012,494,$105,Small Market,West,$32,1,Beans,Coffee,Decaf Irish Cream,$39,$190,Utah,$66,Decaf,YoY % +/-
509,$90,$140,$60,$230,$79,4.74%,True,-17.39%,82.61%,YTD by Month,Variance from Plan,1/1/2012,551,$111,Small Market,West,$72,1,Beans,Coffee,Decaf Irish Cream,$9,$190,Washington,$102,Decaf,YoY % +/-
775,$10,$30,$20,$40,$17,25.58%,True,7.50%,107.50%,YTD by Month,Variance from Plan,1/1/2012,777,$26,Small Market,West,$4,1,Beans,Espresso,Decaf Espresso,$11,$43,Nevada,$15,Decaf,YoY % +/-
971,$160,$160,$100,$320,$170,29.03%,True,6.56%,106.56%,YTD by Month,Variance from Plan,1/1/2012,"1,091",$171,Small Market,West,$47,1,Beans,Espresso,Decaf Espresso,$99,$341,Oregon,$72,Decaf,YoY % +/-
435,$40,$70,$50,$110,$50,38.21%,True,11.82%,111.82%,YTD by Month,Variance from Plan,1/1/2012,821,$73,Small Market,West,$14,1,Beans,Espresso,Decaf Espresso,$47,$123,Utah,$26,Decaf,YoY % +/-
206,$60,$80,$60,$140,$69,26.00%,True,7.14%,107.14%,YTD by Month,Variance from Plan,1/1/2012,965,$81,Small Market,West,$21,1,Beans,Espresso,Decaf Espresso,$39,$150,Washington,$42,Decaf,YoY % +/-
319,$10,$30,$20,$40,$18,24.44%,True,12.50%,112.50%,YTD by Month,Variance from Plan,1/1/2012,821,$27,Small Market,Central,$5,1,Beans,Coffee,Amaretto,$11,$45,Iowa,$16,Regular,YoY % +/-
262,$50,$70,$30,$120,$54,10.83%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,312,$66,Small Market,Central,$20,1,Beans,Coffee,Amaretto,$13,$120,Wisconsin,$53,Regular,YoY % +/-
641,$20,$40,$20,$60,$28,8.06%,True,3.33%,103.33%,YTD by Month,Variance from Plan,1/1/2012,965,$34,Small Market,Central,$8,1,Beans,Coffee,Colombian,$5,$62,Iowa,$29,Regular,YoY % +/-
636,$90,$100,$40,$190,$85,20.53%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,494,$105,Small Market,Central,$32,1,Beans,Coffee,Colombian,$39,$190,Missouri,$66,Regular,YoY % +/-
262,$80,$110,$20,$190,$79,4.74%,True,0.00%,100.00%,YTD by Month,Variance from Plan,1/1/2012,551,$111,Small Market,Central,$72,1,Beans,Coffee,Colombian,$9,$190,Wisconsin,$102,Regular,YoY % +/-
563,$10,$40,$30,$50,$17,25.58%,True,-14.00%,86.00%,YTD by Month,Variance from Plan,1/1/2012,777,$26,Small Market,Central,$4,1,Beans,Espresso,Caffe Mocha,$11,$43,Iowa,$15,Regular,YoY % +/-
573,$50,$90,$70,$140,$50,39.02%,True,-12.14%,87.86%,YTD by Month,Variance from Plan,1/1/2012,821,$73,Small Market,Central,$14,1,Beans,Espresso,Caffe Mocha,$48,$123,Missouri,$25,Regular,YoY % +/-
414,$80,$90,$50,$170,$69,25.33%,True,-11.76%,88.24%,YTD by Month,Variance from Plan,1/1/2012,965,$81,Small Market,Central,$21,1,Beans,Espresso,Caffe Mocha,$38,$150,Wisconsin,$43,Regular,YoY % +/-
603,$30,$50,$30,$80,$38,21.51%,True,16.25%,116.25%,YTD by Month,Variance from Plan,1/1/2012,241,$55,Small Market,East,$12,1,Beans,Coffee,Amaretto,$20,$93,New Hampshire,$35,Regular,YoY % +/-
475,$110,$180,$130,$290,$124,37.10%,True,6.90%,106.90%,YTD by Month,Variance from Plan,1/1/2012,961,$186,Small Market,East,$40,1,Beans,Coffee,Colombian,$115,$310,Connecticut,$71,Regular,YoY % +/-
603,$40,$70,$40,$110,$48,20.83%,True,9.09%,109.09%,YTD by Month,Variance from Plan,1/1/2012,372,$72,Small Market,East,$15,1,Beans,Coffee,Colombian,$25,$120,New Hampshire,$47,Regular,YoY % +/-
860,$70,$100,$20,$170,$75,3.89%,True,5.88%,105.88%,YTD by Month,Variance from Plan,1/1/2012,522,$105,Small Market,East,$68,1,Beans,Espresso,Caffe Mocha,$7,$180,Connecticut,$98,Regular,YoY % +/-
603,$30,$50,$0,$80,$37,-11.11%,True,12.50%,112.50%,YTD by Month,Variance from Plan,1/1/2012,261,$53,Small Market,East,$34,1,Beans,Espresso,Caffe Mocha,($10),$90,New Hampshire,$63,Regular,YoY % +/-
603,$20,$40,$0,$60,$29,-12.31%,True,8.33%,108.33%,YTD by Month,Variance from Plan,1/1/2012,169,$36,Small Market,East,$11,1,Beans,Espresso,Regular Espresso,($8),$65,New Hampshire,$44,Regular,YoY % +/-
225,$40,$60,$50,$100,$34,35.29%,True,-15.00%,85.00%,YTD by Month,Variance from Plan,1/1/2012,777,$51,Small Market,South,$9,1,Beans,Coffee,Colombian,$30,$85,Louisiana,$21,Regular,YoY % +/-
505,$60,$90,$50,$150,$48,21.67%,True,-20.00%,80.00%,YTD by Month,Variance from Plan,1/1/2012,372,$72,Small Market,South,$15,1,Beans,Coffee,Colombian,$26,$120,New Mexico,$46,Regular,YoY % +/-
580,$50,$70,$50,$120,$44,29.00%,True,-16.67%,83.33%,YTD by Month,Variance from Plan,1/1/2012,623,$56,Small Market,South,$14,1,Beans,Coffee,Colombian,$29,$100,Oklahoma,$27,Regular,YoY % +/-
504,$60,$90,$10,$150,$75,4.44%,True,20.00%,120.00%,YTD by Month,Variance from Plan,1/1/2012,522,$105,Small Market,South,$68,1,Beans,Espresso,Caffe Latte,$8,$180,Louisiana,$97,Regular,YoY % +/-
505,$20,$30,$0,$50,$29,-12.31%,True,30.00%,130.00%,YTD by Month,Variance from Plan,1/1/2012,169,$36,Small Market,South,$11,1,Beans,Espresso,Caffe Latte,($8),$65,New Mexico,$44,Regular,YoY % +/-
405,$70,$100,$70,$170,$84,33.00%,True,17.65%,117.65%,YTD by Month,Variance from Plan,1/1/2012,500,$116,Small Market,South,$26,1,Beans,Espresso,Caffe Latte,$66,$200,Oklahoma,$50,Regular,YoY % +/-
337,$50,$100,$80,$150,$67,38.89%,True,20.00%,120.00%,YTD by Month,Variance from Plan,1/1/2012,400,$113,Small Market,South,$20,1,Beans,Espresso,Caffe Mocha,$70,$180,Louisiana,$43,Regular,YoY % +/-
505,$30,$40,($10),$70,$37,-11.11%,True,28.57%,128.57%,YTD by Month,Variance from Plan,1/1/2012,261,$53,Small Market,South,$34,1,Beans,Espresso,Caffe Mocha,($10),$90,New Mexico,$63,Regular,YoY % +/-
405,$20,$40,$40,$60,$32,35.00%,True,33.33%,133.33%,YTD by Month,Variance from Plan,1/1/2012,456,$48,Small Market,South,$8,1,Beans,Espresso,Caffe Mocha,$28,$80,Oklahoma,$20,Regular,YoY % +/-
541,$70,$110,$40,$180,$63,0.67%,True,-16.67%,83.33%,YTD by Month,Variance from Plan,1/1/2012,435,$87,Small Market,West,$57,1,Beans,Coffee,Amaretto,$1,$150,Oregon,$86,Regular,YoY % +/-
